GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0071554	cell wall organization or biogenesis	40	1223	3.27%	196	6486	3.02%	YBL068W, YBR078W, YBR229C, YDL029W, YDL055C, YDR099W, YDR293C, YDR483W, YEL040W, YEL058W, YER003C, YER177W, YFL039C, YGL027C, YGL228W, YGR032W, YGR189C, YGR282C, YHL011C, YHR139C, YJL034W, YJL158C, YJL159W, YJR104C, YKL096W, YKL104C, YKL126W, YKL164C, YKL181W, YLR300W, YLR390W-A, YMR109W, YMR237W, YMR307W, YNL160W, YOL061W, YOL109W, YPL031C, YPR149W, YPR165W
GO:0042255	ribosome assembly	37	1223	3.03%	72	6486	1.11%	YAL035W, YBR048W, YDR025W, YDR418W, YDR447C, YEL054C, YER131W, YGL189C, YGR085C, YGR159C, YHL001W, YHR021C, YIL070C, YIL148W, YJL191W, YKL006W, YKL156W, YKR094C, YLR048W, YLR075W, YLR106C, YLR167W, YLR340W, YLR448W, YML024W, YML073C, YMR229C, YNL061W, YOL127W, YOR063W, YOR369C, YPL093W, YPL131W, YPL143W, YPR016C, YPR041W, YPR102C
GO:0007005	mitochondrion organization	37	1223	3.03%	251	6486	3.87%	YBL022C, YCL057C-A, YCR028C-A, YDL029W, YDL126C, YDL192W, YDL198C, YDR258C, YDR322C-A, YDR529C, YER125W, YFR004W, YGL191W, YGR132C, YGR231C, YHL021C, YHR005C-A, YIL062C, YJR144W, YKR016W, YLL001W, YLR038C, YLR259C, YLR304C, YLR355C, YML030W, YMR072W, YMR241W, YNL055C, YNL121C, YNL131W, YNL138W, YOL145C, YOR211C, YOR326W, YPL063W, YPL218W
GO:0000278	mitotic cell cycle	36	1223	2.94%	295	6486	4.55%	YAL016W, YBR088C, YBR160W, YCR002C, YDL126C, YDR002W, YDR328C, YDR388W, YER133W, YER155C, YER177W, YFL037W, YFL039C, YGL106W, YGL173C, YGL190C, YGR152C, YGR155W, YGR211W, YHR107C, YIL138C, YIR006C, YJR076C, YLL021W, YLR113W, YLR314C, YML085C, YML124C, YMR109W, YMR308C, YNL079C, YNL307C, YOR122C, YOR198C, YOR326W, YPR165W
GO:0051321	meiotic cell cycle	36	1223	2.94%	278	6486	4.29%	YAR007C, YBR010W, YBR088C, YBR160W, YDL029W, YDR099W, YDR155C, YDR516C, YER133W, YER177W, YFL005W, YFL039C, YGL190C, YGL228W, YGR032W, YHR039C, YHR139C, YJL080C, YKL096W, YML074C, YML085C, YML124C, YML128C, YMR039C, YMR079W, YMR183C, YNL031C, YNL088W, YNL098C, YNL102W, YNL202W, YNL231C, YNL307C, YOR198C, YPL204W, YPL232W
GO:0045333	cellular respiration	36	1223	2.94%	85	6486	1.31%	Q0250, YBL030C, YBL045C, YBR010W, YBR026C, YDL067C, YDR178W, YDR487C, YDR529C, YEL024W, YER156C, YFR049W, YGL187C, YGL191W, YGR244C, YHR051W, YIL070C, YIL125W, YJL200C, YJR048W, YJR104C, YKL085W, YKL148C, YKR046C, YLL041C, YLR304C, YML120C, YNL031C, YNL037C, YNL052W, YOR065W, YOR136W, YOR142W, YPL262W, YPR001W, YPR191W
GO:0006417	regulation of translation	35	1223	2.86%	153	6486	2.36%	YAL003W, YAL016W, YAL035W, YBR189W, YCR077C, YDL160C, YDR091C, YDR293C, YDR328C, YDR385W, YDR432W, YEL034W, YER025W, YER165W, YFR009W, YGL014W, YGL123W, YGL195W, YGR054W, YGR083C, YGR162W, YHL034C, YJL138C, YKR026C, YKR059W, YLR027C, YLR150W, YMR116C, YOL139C, YOR133W, YOR204W, YPL048W, YPL203W, YPL226W, YPR041W
GO:0000054	ribosomal subunit export from nucleus	35	1223	2.86%	67	6486	1.03%	YDL229W, YDR091C, YDR101C, YDR361C, YDR450W, YER006W, YER036C, YER125W, YER131W, YFR002W, YGL123W, YGL135W, YGL189C, YGR218W, YGR285C, YIL148W, YJL041W, YJR123W, YKR094C, YLR048W, YLR106C, YLR264W, YML026C, YMR235C, YNL178W, YNL209W, YNL302C, YOL040C, YOL121C, YOR167C, YOR293W, YPL093W, YPL220W, YPL239W, YPR016C
GO:0006979	response to oxidative stress	34	1223	2.78%	85	6486	1.31%	YBR006W, YBR046C, YCL035C, YCR083W, YDL124W, YDR346C, YDR353W, YDR368W, YDR513W, YDR533C, YER042W, YFL014W, YGR043C, YGR088W, YGR234W, YHR104W, YHR183W, YIL010W, YIR037W, YJR096W, YKL150W, YKR066C, YKR071C, YLR027C, YLR109W, YML028W, YML086C, YMR250W, YNL036W, YNL180C, YNL241C, YOR120W, YPL091W, YPL239W
GO:0006897	endocytosis	33	1223	2.70%	103	6486	1.59%	YAR042W, YBL007C, YBL047C, YBR109C, YBR164C, YBR214W, YCL034W, YCR009C, YDR388W, YER125W, YER133W, YFL039C, YGL206C, YGR086C, YGR167W, YHR001W, YHR135C, YIL041W, YIR006C, YKR001C, YKR014C, YLL050C, YLR342W, YML001W, YMR109W, YNL154C, YNL243W, YNR035C, YOR089C, YPL004C, YPL145C, YPL204W, YPR165W
